"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.405336","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","10.012006","0","25"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","567.785339","0","88"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.683624","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.023002","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","22.364885","0","33"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","5.280712","0","6"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/VFX/M_MuzzleFlash_01.M_MuzzleFlash_01","0","15","15","1","8.162853","0","15"
"/Game/MainContents/Weapons/Bullets/M_BulletHole.M_BulletHole","0","9","9","1","5.075208","0","9"
"/Game/MainContents/Weapons/Equips/Sniper/M_SniperCrossHair.M_SniperCrossHair","0","6","6","1","4.024286","0","6"
"/Game/MainContents/Weapons/Equips/Sniper/M_SniperRifleLens.M_SniperRifleLens","0","3","3","1","2.389768","0","3"
"/Game/SciFITrooper_Man_03/Materials/M_SciFITrooper_Man_03_Top_Origin.M_SciFITrooper_Man_03_Top_Origin","0","6","6","1","4.592996","0","6"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","356","1","200.579147","0","356"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","0.969014","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","26.979374","0","46"
"/Game/SciFi_Props/Materials/M_Master.M_Master","0","6","6","1","4.578410","0","6"
"/Game/SciFITrooper_Man_03/Materials/M_Sci-FITropperMan-03.M_Sci-FITropperMan-03","0","6","6","1","4.508994","0","6"
"/Game/MainContents/Animation/Enemy/AileniMesh/Ch50_body.Ch50_body","0","6","6","1","4.529593","0","6"
"/Game/MainContents/Animation/Enemy/AileniMesh/Ch50_body1.Ch50_body1","0","6","6","1","4.611118","0","6"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.698520","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","1.656283","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","7.291896","0","9"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","4.587870","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","0.901536","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","0.908019","0","3"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Base_MAT.M_Base_MAT","0","12","12","4","9.793875","0","12"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","10.227866","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.720267","0","2"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Monocolor_MAT.M_Monocolor_MAT","0","3","3","1","1.651502","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.481041","0","2"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","9","9","3","7.665012","0","9"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","2.006209","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","3.248498","0","7"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","0.881449","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","0.996382","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.027473","0","5"
"/Game/ModularSciFiEnv_I/Materials/Base/M_LampEmiss_MAT.M_LampEmiss_MAT","0","6","6","2","4.699199","0","6"
"/Game/ModularSciFiEnv_I/Materials/Base/M_Glass_Dirty_MAT.M_Glass_Dirty_MAT","0","8","8","1","39.449806","0","8"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","9.524913","0","25"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","11.039927","0","14"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","127.845177","0","112"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","21.231373","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","3.417892","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","6.507267","0","9"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","156.245956","0","128"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","3.677752","0","6"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","192.313049","0","128"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","174.685913","0","112"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","269.021912","0","28"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","38.669884","0","63"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","59.317085","0","92"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","5.297788","0","6"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","3.758085","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","2.678863","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.157502","0","6"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","5.419821","0","7"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","3.922333","0","7"
"/Game/MarketplaceBlockout/Modern/Weapons/Materials/MasterMaterials/MM_Modern_Weapons_Textured.MM_Modern_Weapons_Textured","0","6","6","1","4.877896","0","6"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","5.963444","0","10"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.494290","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","31.729500","0","42"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","6.515592","0","10"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","9.621103","0","12"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/Scopes/02/Materials/M_Modern_Weapons_Scope_02_Crosshair.M_Modern_Weapons_Scope_02_Crosshair","0","16","16","1","12.350540","0","16"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/Scopes/02/Materials/M_Modern_Weapons_Scope_02_Fade.M_Modern_Weapons_Scope_02_Fade","0","16","16","1","0.000000","0","16"
"/Game/SciFITrooper_Man_03/Materials/M_SciFITrooper_Man_03_Bottom_Origin.M_SciFITrooper_Man_03_Bottom_Origin","0","6","6","1","4.830504","0","6"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","11.535867","0","16"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","1.782267","0","5"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","10.208104","0","24"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","5.128280","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","32.297745","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","35.125896","0","32"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","15.622304","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","4.898841","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","13.506237","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","4.585376","0","13"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","0","1","0.000000","0","0"
